year,model,mae,rmse,actual_heat_days,pred_heat_days
2021,베이스라인(평년+편차감쇄),1.3717511244377805,1.7431531924044819,0,0
2021,Holt 지수평활,1.321328798297273,1.5041072314862372,0,0
2022,베이스라인(평년+편차감쇄),1.5523768115942034,2.047448813673367,0,0
2022,Holt 지수평활,2.313959933388693,2.5769101747017804,0,0
2023,베이스라인(평년+편차감쇄),1.3583868065967015,1.8401539993499543,0,0
2023,Holt 지수평활,2.1742522145769754,2.4902652565801398,0,0
2024,베이스라인(평년+편차감쇄),2.2735104947526237,2.65283274636916,6,0
2024,Holt 지수평활,2.8051187618366114,3.630378902766425,6,0
2025,베이스라인(평년+편차감쇄),1.6328793103448276,2.1431774580340077,1,0
2025,Holt 지수평활,5.049504188579336,5.589990389070082,1,0
