date,year,month,day,day_of_year,avg_temp,max_temp,min_temp,is_heatwave,is_tropical_night,type
2026-09-01,2026,9,1,244,24.7,29.0,21.0,False,False,예측치
2026-09-02,2026,9,2,245,24.9,29.2,20.9,False,False,예측치
2026-09-03,2026,9,3,246,25.9,30.5,22.0,False,False,예측치
2026-09-04,2026,9,4,247,25.3,29.4,21.7,False,False,예측치
2026-09-05,2026,9,5,248,25.1,29.1,22.2,False,False,예측치
2026-09-06,2026,9,6,249,24.5,28.4,21.5,False,False,예측치
2026-09-07,2026,9,7,250,24.2,28.2,20.3,False,False,예측치
2026-09-08,2026,9,8,251,24.5,30.0,19.7,False,False,예측치
2026-09-09,2026,9,9,252,25.2,30.6,20.8,False,False,예측치
2026-09-10,2026,9,10,253,25.5,30.6,20.9,False,False,예측치
2026-09-11,2026,9,11,254,25.6,30.5,21.7,False,False,예측치
2026-09-12,2026,9,12,255,24.7,28.3,21.4,False,False,예측치
2026-09-13,2026,9,13,256,24.1,27.5,21.3,False,False,예측치
2026-09-14,2026,9,14,257,25.1,29.4,21.7,False,False,예측치
2026-09-15,2026,9,15,258,24.9,29.1,21.3,False,False,예측치
2026-09-16,2026,9,16,259,24.6,28.7,21.3,False,False,예측치
2026-09-17,2026,9,17,260,25.1,28.7,22.5,False,False,예측치
2026-09-18,2026,9,18,261,25.5,30.3,22.0,False,False,예측치
2026-09-19,2026,9,19,262,24.2,27.8,21.1,False,False,예측치
2026-09-20,2026,9,20,263,21.9,25.9,17.8,False,False,예측치
2026-09-21,2026,9,21,264,20.5,25.0,16.4,False,False,예측치
2026-09-22,2026,9,22,265,20.6,25.6,16.1,False,False,예측치
2026-09-23,2026,9,23,266,20.8,25.8,16.7,False,False,예측치
2026-09-24,2026,9,24,267,21.1,25.7,16.6,False,False,예측치
2026-09-25,2026,9,25,268,21.7,25.7,18.1,False,False,예측치
2026-09-26,2026,9,26,269,21.6,25.8,18.1,False,False,예측치
2026-09-27,2026,9,27,270,21.9,26.4,17.9,False,False,예측치
2026-09-28,2026,9,28,271,21.6,25.6,18.6,False,False,예측치
2026-09-29,2026,9,29,272,21.0,25.6,17.4,False,False,예측치
2026-09-30,2026,9,30,273,20.7,25.7,16.7,False,False,예측치
