date,baseline_avg,baseline_max,holt_avg,holt_max,diff_avg
2026-09-01,24.7,29.0,28.9,31.9,4.2
2026-09-02,24.9,29.2,28.9,31.9,4.0
2026-09-03,25.9,30.5,28.9,31.9,3.0
2026-09-04,25.3,29.4,29.0,31.9,3.7
2026-09-05,25.1,29.1,29.0,31.9,3.9
2026-09-06,24.5,28.4,29.0,31.9,4.5
2026-09-07,24.2,28.2,29.1,31.9,4.9
2026-09-08,24.5,30.0,29.1,31.9,4.6
2026-09-09,25.2,30.6,29.1,31.9,3.9
2026-09-10,25.5,30.6,29.2,31.9,3.7
2026-09-11,25.6,30.5,29.2,31.9,3.6
2026-09-12,24.7,28.3,29.2,31.9,4.5
2026-09-13,24.1,27.5,29.3,31.9,5.2
2026-09-14,25.1,29.4,29.3,31.9,4.2
2026-09-15,24.9,29.1,29.3,31.9,4.4
2026-09-16,24.6,28.7,29.4,31.9,4.8
2026-09-17,25.1,28.7,29.4,31.9,4.3
2026-09-18,25.5,30.3,29.4,31.9,3.9
2026-09-19,24.2,27.8,29.5,31.9,5.3
2026-09-20,21.9,25.9,29.5,31.9,7.6
2026-09-21,20.5,25.0,29.5,31.9,9.0
2026-09-22,20.6,25.6,29.6,31.9,9.0
2026-09-23,20.8,25.8,29.6,31.9,8.8
2026-09-24,21.1,25.7,29.6,31.9,8.5
2026-09-25,21.7,25.7,29.6,31.9,7.9
2026-09-26,21.6,25.8,29.7,31.9,8.1
2026-09-27,21.9,26.4,29.7,31.9,7.8
2026-09-28,21.6,25.6,29.7,31.9,8.1
2026-09-29,21.0,25.6,29.7,31.9,8.7
2026-09-30,20.7,25.7,29.8,31.9,9.1
