date,year,month,day,day_of_year,avg_temp,max_temp,min_temp,is_heatwave,is_tropical_night,type
2021-09-01,2021,9,1,244,21.4,23.9,18.5,False,False,관측치
2021-09-02,2021,9,2,245,23.5,26.7,20.7,False,False,관측치
2021-09-03,2021,9,3,246,24.3,29.2,20.6,False,False,관측치
2021-09-04,2021,9,4,247,23.2,28.6,18.5,False,False,관측치
2021-09-05,2021,9,5,248,23.1,27.3,19.4,False,False,관측치
2021-09-06,2021,9,6,249,22.3,26.4,18.0,False,False,관측치
2021-09-07,2021,9,7,250,19.6,20.9,17.6,False,False,관측치
2021-09-08,2021,9,8,251,22.2,26.9,19.0,False,False,관측치
2021-09-09,2021,9,9,252,23.5,29.1,19.1,False,False,관측치
2021-09-10,2021,9,10,253,23.6,28.9,19.5,False,False,관측치
2021-09-11,2021,9,11,254,24.0,29.4,19.9,False,False,관측치
2021-09-12,2021,9,12,255,24.2,29.8,19.2,False,False,관측치
2021-09-13,2021,9,13,256,24.8,30.3,20.8,False,False,관측치
2021-09-14,2021,9,14,257,24.6,29.5,20.0,False,False,관측치
2021-09-15,2021,9,15,258,23.6,28.9,19.5,False,False,관측치
2021-09-16,2021,9,16,259,22.9,27.3,18.0,False,False,관측치
2021-09-17,2021,9,17,260,23.5,28.2,20.5,False,False,관측치
2021-09-18,2021,9,18,261,23.9,29.8,18.9,False,False,관측치
2021-09-19,2021,9,19,262,23.7,27.8,20.8,False,False,관측치
2021-09-20,2021,9,20,263,23.7,28.4,19.0,False,False,관측치
2021-09-21,2021,9,21,264,22.0,26.2,17.4,False,False,관측치
2021-09-22,2021,9,22,265,20.2,24.3,16.8,False,False,관측치
2021-09-23,2021,9,23,266,20.9,25.9,16.9,False,False,관측치
2021-09-24,2021,9,24,267,21.8,26.9,16.7,False,False,관측치
2021-09-25,2021,9,25,268,21.2,23.1,18.7,False,False,관측치
2021-09-26,2021,9,26,269,22.6,27.3,18.4,False,False,관측치
2021-09-27,2021,9,27,270,21.6,25.0,18.7,False,False,관측치
2021-09-28,2021,9,28,271,21.5,24.4,19.6,False,False,관측치
2021-09-29,2021,9,29,272,20.2,21.4,17.8,False,False,관측치
2021-09-30,2021,9,30,273,20.3,25.9,16.0,False,False,관측치
2022-09-01,2022,9,1,244,24.0,30.4,18.3,False,False,관측치
2022-09-02,2022,9,2,245,24.7,29.8,20.3,False,False,관측치
2022-09-03,2022,9,3,246,24.2,29.2,20.5,False,False,관측치
2022-09-04,2022,9,4,247,22.3,24.0,19.8,False,False,관측치
2022-09-05,2022,9,5,248,19.2,22.7,17.7,False,False,관측치
2022-09-06,2022,9,6,249,21.0,26.3,17.0,False,False,관측치
2022-09-07,2022,9,7,250,22.8,28.1,17.9,False,False,관측치
2022-09-08,2022,9,8,251,23.2,29.5,16.7,False,False,관측치
2022-09-09,2022,9,9,252,24.3,30.8,18.9,False,False,관측치
2022-09-10,2022,9,10,253,23.6,28.4,19.0,False,False,관측치
2022-09-11,2022,9,11,254,23.3,26.4,20.6,False,False,관측치
2022-09-12,2022,9,12,255,23.8,27.5,20.3,False,False,관측치
2022-09-13,2022,9,13,256,24.3,26.4,21.8,False,False,관측치
2022-09-14,2022,9,14,257,24.6,27.9,22.7,False,False,관측치
2022-09-15,2022,9,15,258,25.2,28.3,22.0,False,False,관측치
2022-09-16,2022,9,16,259,25.7,29.9,23.4,False,False,관측치
2022-09-17,2022,9,17,260,25.6,29.4,23.3,False,False,관측치
2022-09-18,2022,9,18,261,27.1,32.5,23.0,False,False,관측치
2022-09-19,2022,9,19,262,24.6,29.6,19.5,False,False,관측치
2022-09-20,2022,9,20,263,19.9,24.6,16.1,False,False,관측치
2022-09-21,2022,9,21,264,19.4,25.6,13.0,False,False,관측치
2022-09-22,2022,9,22,265,19.8,24.7,14.2,False,False,관측치
2022-09-23,2022,9,23,266,17.5,22.2,14.7,False,False,관측치
2022-09-24,2022,9,24,267,18.5,24.2,12.3,False,False,관측치
2022-09-25,2022,9,25,268,19.6,25.2,15.4,False,False,관측치
2022-09-26,2022,9,26,269,20.0,25.4,14.8,False,False,관측치
2022-09-27,2022,9,27,270,20.9,28.0,14.0,False,False,관측치
2022-09-28,2022,9,28,271,20.4,26.1,16.1,False,False,관측치
